Date,Volume,weekly returns
4/18/2013,39059000,-5.021409108602565
4/17/2013,26440600,-0.8261359369132647
4/16/2013,27365900,2.8974739970282357
4/15/2013,30275400,1.5460030165912524
4/12/2013,28697400,5.182481751824811
4/11/2013,33368500,7.316202712348326
4/10/2013,45949400,6.673920928545519
4/9/2013,21311100,3.3847311019180095
4/8/2013,27256000,0.819366852886415
4/5/2013,64566600,1.7159547280029168
4/4/2013,82016800,2.0317694865164415
4/3/2013,48195200,-4.380952380952376
4/2/2013,35153300,-10.228166797797002
4/1/2013,22249300,-7.990599294947118
3/28/2013,28585700,-3.9483971853010225
3/27/2013,52297400,-2.912993484093528
3/26/2013,26957200,-8.647362157873859
3/25/2013,39199000,-7.719856744926388
3/22/2013,18456300,-2.020987174504468
3/21/2013,24336100,1.2432012432012305
3/20/2013,44006500,1.2761020881670466
3/19/2013,25254200,3.653483992467052
3/18/2013,26653700,1.5100037750094322
3/15/2013,31597400,5.4033771106941755
3/14/2013,27646400,7.063609467455622
3/13/2013,39619500,4.9852289512555314
3/12/2013,27569600,7.5098814229249005
3/11/2013,35642100,8.102345415778256
3/8/2013,44198900,5.042918454935623
3/7/2013,74540200,7.312806158152554
3/6/2013,33532600,2.914389799635704
3/5/2013,40622200,1.7441860465116297
3/4/2013,32400700,2.308802308802311
3/1/2013,54064800,-0.17998560115189763
2/28/2013,83027800,-3.266055045871562
2/27/2013,44319700,-4.056568663937476
2/26/2013,31611700,-4.3446513326031315
2/25/2013,34652000,-0.6600660066006591
2/22/2013,36350200,-1.4375230372281629
2/21/2013,49642300,-1.6129032258064433
2/20/2013,42098200,2.3893183415319736
2/19/2013,49396400,5.807120636017974
2/15/2013,33109300,5.120056497175138
2/14/2013,35615800,3.894736842105261
2/13/2013,50164000,2.29308491580079
2/12/2013,93447800,0.8768724881256924
2/11/2013,37361800,3.4677990092002844
2/8/2013,37708800,0.3152364273204899
2/7/2013,34540100,-0.9773123909249605
2/6/2013,38375900,2.5129087779690202
2/5/2013,47948200,0.4888268156424601
2/4/2013,92362200,0.7114905727499086
2/1/2013,85856700,7.938109653548602
1/31/2013,190744900,8.779857972885729
1/30/2013,87682100,8.61075544174135
1/29/2013,72976500,6.950308541734332
1/28/2013,59682500,10.532799507237446
1/25/2013,54363600,9.194673430564357
1/24/2013,43845100,9.555984555984553
1/23/2013,48899800,3.5366645035691104
1/22/2013,55243300,-0.8135372600065083
1/18/2013,49631500,-5.327039784221167
1/17/2013,40256700,-2.1566025215660205
1/16/2013,75332700,-8.777219430485752
1/15/2013,173242600,-4.784053156146172
1/14/2013,98892800,-0.42003231017770276
1/11/2013,89598000,2.8373266078184067
1/10/2013,95316400,1.8210862619808317
1/9/2013,104787700,3.0402092186989202
1/8/2013,45871300,-3.716448726772202
1/7/2013,83781800,-1.4615907545887141
1/4/2013,72715400,-4.659248956884561
1/3/2013,63140600,-11.451206337774575
1/2/2013,69846400,-13.285714285714281
12/31/2012,60374500,-17.58076634109692
12/28/2012,56574800,-18.06252412196063
12/27/2012,43481700,-11.554702495201527
12/26/2012,33175400,-10.976989815164089
12/24/2012,28230100,-6.795395469736361
12/21/2012,54555200,-5.7501904036557425
12/20/2012,35574800,-2.3391812865497097
12/19/2012,61390300,2.8821597956949985
12/18/2012,60512900,6.49584987369181
12/17/2012,57742500,2.6168224299065392
12/14/2012,91631600,1.118985453189098
12/13/2012,81051600,4.638810198300279
12/12/2012,46704200,4.7860768672951295
12/11/2012,77099100,2.2158684774839204
12/10/2012,50608500,1.5445402298850563
12/7/2012,51751900,-0.8002910149145233
12/6/2012,46001500,0.8157211716722241
12/5/2012,58976300,3.2479249368459118
12/4/2012,72869200,-2.840495265841215
12/3/2012,123526100,-1.9970414201183402
11/30/2012,127049600,0.07142857142856991
11/29/2012,88759700,-1.9033674963396763
11/28/2012,49205600,-4.286798179059177
11/27/2012,85760600,-3.1357552581261965
11/26/2012,123865000,-6.823438704703159
